#,ProjectID,Source,Invoice Number,Invoice Date,Vendor Number,Address Sequence Number,Vendor Name,Gross Invoice Amount,Payment Method,Payment Block Key,Check Number,Check Date,Check Amount,Company Code,Document Number,Document Type,Description,User Name,Posting Date,Payment Document Number,PO Number,Bank ID,Void Indicator,Void Date,Void Reason,Discount Percent,Discount Amount,PaymentTerms,Voucher Number,Batch Number,Absolute Amount,VID,ID,Raw Data PK,Clearing Date,Paying Company Code,Replacement Check Number,Intercompany Payment,Fiscal Year,Currency Key,Fiscal Period,Sales Tax Code,Purchasing Document Number,Gross Invoice Amount Local
1,Anadarko_2014,SAP,PC1641301749437,2014-02-28 00:00:00.000,0007475014,,WELLS FARGO,73.9800,,,,,,0011,1600024711,YB,"",,2014-03-20 00:00:00.000,0100015406,,,,,,,,,,,73.9800,63503,31501,327486,,,,,2014,USD,03,,,0.0000
2,Anadarko_2014,SAP,1968,2014-08-28 00:00:00.000,0009537296,,GRACE OILFIELD SERVICES LLC,450.0000,,,,,,0010,0600466223,ZF,"",,2014-09-12 00:00:00.000,1500073009,,,,,,,,,,,450.0000,86129,31502,327487,,,,,2014,USD,09,,,0.0000
3,Anadarko_2014,SAP,PC1641013586792,2013-03-31 00:00:00.000,0007475014,,WELLS FARGO,6837.3000,,,,,,0011,1600023634,YB,"",,2013-04-18 00:00:00.000,0100002307,,,,,,,,,,,6837.3000,63503,31503,327489,,,,,2013,USD,04,,,0.0000
4,Anadarko_2014,SAP,5008143757,2014-08-31 00:00:00.000,0009522293,,SUNLAND FIELD SERVICES INC,90787.0000,,,,,,0011,0600362496,ZF,"",,2014-09-25 00:00:00.000,1500108142,,,,,,,,,,,90787.0000,82634,31504,327501,,,,,2014,USD,09,,,0.0000
5,Anadarko_2014,SAP,PC1641449449957,2014-03-31 00:00:00.000,0007475014,,WELLS FARGO,16.9900,,,,,,0011,1600034408,YB,"",,2014-04-24 00:00:00.000,0100001309,,,,,,,,,,,16.9900,63503,31505,327509,,,,,2014,USD,04,,,0.0000
6,Anadarko_2014,SAP,PC1641385726833,2014-05-31 00:00:00.000,0007475014,,WELLS FARGO,76.3300,,,,,,0011,1600048145,YB,"",,2014-06-25 00:00:00.000,0100080118,,,,,,,,,,,76.3300,63503,31506,327576,,,,,2014,USD,06,,,0.0000
7,Anadarko_2014,SAP,PC1641031189834,2013-04-30 00:00:00.000,0007475014,,WELLS FARGO,239.5600,,,,,,0011,1600033011,YB,"",,2013-05-21 00:00:00.000,0100006907,,,,,,,,,,,239.5600,63503,31507,327577,,,,,2013,USD,05,,,0.0000
8,Anadarko_2014,SAP,PC1641038634072,2014-04-30 00:00:00.000,0007475014,,WELLS FARGO,678.6100,,,,,,0011,1600038835,YB,"",,2014-05-20 00:00:00.000,0100012106,,,,,,,,,,,678.6100,63503,31508,327578,,,,,2014,USD,05,,,0.0000
9,Anadarko_2014,SAP,11043567403,2014-08-27 00:00:00.000,0009001204,,KEY ENERGY SERVICES INC AND DIVIS,391.0000,,,,,,0010,0600438320,ZF,"",,2014-08-29 00:00:00.000,1500072644,,,,,,,,,,,391.0000,66906,31509,327580,,,,,2014,USD,08,,,0.0000
10,Anadarko_2014,SAP,PC1641266487798,2011-08-31 00:00:00.000,0007475014,,WELLS FARGO,976.7000,,,,,,0010,1600041652,YB,"",,2011-09-22 00:00:00.000,0100421389,,,,,,,,,,,976.7000,63503,31510,327594,,,,,2011,USD,09,,,0.0000
