Total_Invoice_Amount	Year	Total_Invoice_Count	Client	Supplier_ref
3894836.880000	2018	1823.000000	"con edison"	"a&m wholesale hardware co dba a&m industrial"
4815654.260000	2017	1823.000000	"con edison"	"a&m wholesale hardware co dba a&m industrial"
5329215.590000	2016	1823.000000	"con edison"	"a&m wholesale hardware co dba a&m industrial"
5329215.590000	2016	1823.000000	"con edison"	"a&m wholesale hardware co dba a&m industrial"
19323365.680000	2016	170.500000	"con edison"	"abb"
19323365.680000	2016	170.500000	"con edison"	"abb"
25576812.520000	2017	170.500000	"con edison"	"abb"
16487513.750000	2018	170.500000	"con edison"	"abb"
20290220.170000	2017	81.000000	"con edison"	"accenture llp"
11397070.350000	2016	81.000000	"con edison"	"accenture llp"
11397070.350000	2016	81.000000	"con edison"	"accenture llp"
20423256.640000	2018	81.000000	"con edison"	"accenture llp"
24624072.740000	2016	1360.250000	"con edison"	"acv enviro apv"
25184567.630000	2018	1360.250000	"con edison"	"acv enviro apv"
24624072.740000	2016	1360.250000	"con edison"	"acv enviro apv"
32798645.490000	2017	1360.250000	"con edison"	"acv enviro apv"
3837664.530000	2017	38.750000	"con edison"	"adc construction"
5131776.130000	2016	38.750000	"con edison"	"adc construction"
5131776.130000	2016	38.750000	"con edison"	"adc construction"
3411692.350000	2018	38.750000	"con edison"	"adc construction"
733444.540000	2016	43.500000	"con edison"	"aecom"
362645.060000	2018	43.500000	"con edison"	"aecom"
727642.930000	2017	43.500000	"con edison"	"aecom"
733444.540000	2016	43.500000	"con edison"	"aecom"
808282.630000	2016	91.000000	"con edison"	"aggreko holdings"
1053136.550000	2018	91.000000	"con edison"	"aggreko holdings"
614205.980000	2017	91.000000	"con edison"	"aggreko holdings"
808282.630000	2016	91.000000	"con edison"	"aggreko holdings"
632936.210000	2016	556.250000	"con edison"	"air products and chemicals"
892163.140000	2018	556.250000	"con edison"	"air products and chemicals"
632936.210000	2016	556.250000	"con edison"	"air products and chemicals"
711361.520000	2017	556.250000	"con edison"	"air products and chemicals"
1100374.350000	2016	1368.500000	"con edison"	"airgas usa 1"
980117.890000	2018	1368.500000	"con edison"	"airgas usa 1"
1100374.350000	2016	1368.500000	"con edison"	"airgas usa 1"
1070999.100000	2017	1368.500000	"con edison"	"airgas usa 1"
995045.870000	2016	132.750000	"con edison"	"alison control"
923885.000000	2018	132.750000	"con edison"	"alison control"
1262133.000000	2017	132.750000	"con edison"	"alison control"
995045.870000	2016	132.750000	"con edison"	"alison control"
259879.000000	2017	4.000000	"con edison"	"allegro development corp"
238765.000000	2018	4.000000	"con edison"	"allegro development corp"
500010.650000	2016	4.000000	"con edison"	"allegro development corp"
500010.650000	2016	4.000000	"con edison"	"allegro development corp"
5452330.950000	2018	689.500000	"con edison"	"alliedbarton security services"
6020370.720000	2017	689.500000	"con edison"	"alliedbarton security services"
5885164.370000	2016	689.500000	"con edison"	"alliedbarton security services"
5885164.370000	2016	689.500000	"con edison"	"alliedbarton security services"
924558.200000	2018	14.000000	"con edison"	"alstom power"
324584.400000	2016	14.000000	"con edison"	"alstom power"
324584.400000	2016	14.000000	"con edison"	"alstom power"
1031861.810000	2017	14.000000	"con edison"	"alstom power"
3563689.110000	2017	84.000000	"con edison"	"altec industries"
1973092.760000	2018	84.000000	"con edison"	"altec industries"
3705500.270000	2016	84.000000	"con edison"	"altec industries"
3705500.270000	2016	84.000000	"con edison"	"altec industries"
219131.880000	2017	5.500000	"con edison"	"arnold & porter kaye scholer llp"
793559.210000	2018	5.500000	"con edison"	"arnold & porter kaye scholer llp"
89166.560000	2016	5.500000	"con edison"	"arnold & porter kaye scholer llp"
89166.560000	2016	5.500000	"con edison"	"arnold & porter kaye scholer llp"
0.000000	2016	0.500000	"con edison"	"asplundh construction corp"
