Total_Invoice_Amount	Year	Total_Invoice_Count	Client	Supplier_ref
999197.850000	2016	609.250000	"marathonpetroleum"	"2 market solutuions"
2139171.000000	2015	609.250000	"marathonpetroleum"	"2 market solutuions"
888147.190000	2018	222036.797500	"marathonpetroleum"	"2 market solutuions"
952676.950000	2017	609.250000	"marathonpetroleum"	"2 market solutuions"
4431026.230000	2018	1107756.557500	"marathonpetroleum"	"3wire group"
4575304.740000	2018	1143826.185000	"marathonpetroleum"	"a & l sandblasting painting"
1977253.830000	2016	275.000000	"marathonpetroleum"	"a j hurt jr"
181925.180000	2018	45481.295000	"marathonpetroleum"	"a j hurt jr"
1559753.830000	2017	275.000000	"marathonpetroleum"	"a j hurt jr"
3867500.400000	2015	275.000000	"marathonpetroleum"	"a j hurt jr"
964699.170000	2017	273.500000	"marathonpetroleum"	"aaron oil company"
1440333.570000	2016	273.500000	"marathonpetroleum"	"aaron oil company"
963609.280000	2015	273.500000	"marathonpetroleum"	"aaron oil company"
1346438.740000	2018	336609.685000	"marathonpetroleum"	"aaron oil company"
1851411.480000	2015	459.000000	"marathonpetroleum"	"abb"
3841411.410000	2018	960352.852500	"marathonpetroleum"	"abb"
5952215.960000	2016	459.000000	"marathonpetroleum"	"abb"
2302418.400000	2017	459.000000	"marathonpetroleum"	"abb"
706409.110000	2018	176602.277500	"marathonpetroleum"	"abrasive products and equipment"
2299669.100000	2018	574917.275000	"marathonpetroleum"	"accutrans"
1344647.390000	2018	336161.847500	"marathonpetroleum"	"aceallwaste env services of in"
2189956.570000	2017	219.750000	"marathonpetroleum"	"aci construction co"
1913539.000000	2018	478384.750000	"marathonpetroleum"	"aci construction co"
3194677.840000	2015	219.750000	"marathonpetroleum"	"aci construction co"
3055261.930000	2016	219.750000	"marathonpetroleum"	"aci construction co"
1266247.760000	2017	177.250000	"marathonpetroleum"	"adams dozer service"
1091544.890000	2016	177.250000	"marathonpetroleum"	"adams dozer service"
