Supplier,Total_Invoice_Amount,Total_Invoice_Count,Year,Client
" Austin LW Hotel Associates, LP",5784.92,2,2018,equinor
"1099Express.com, Inc.",348,1,2015,equinor
"1099Express.com, Inc.",298,1,2016,equinor
"1099Express/Dallas, LLC",1964.05,5,2015,equinor
"1099Express/Dallas, LLC",10470.54,4,2016,equinor
"10-Code, LLC",1097.5,1,2017,equinor
"10-Code, LLC",2938.99,2,2018,equinor
"1600 West Loop South, LLC",3788.75,1,2018,equinor
1Derrick Inc,9201.25,1,2016,equinor
1Derrick Inc,9661.31,1,2017,equinor
1Derrick Inc,9661.31,1,2018,equinor
1st Choice Fire Extinguisher Sales,0,2,2018,equinor
2011 Angelina Manufacturing LLC,390818.54,2,2017,equinor
2011 Angelina Manufacturing LLC,38499.14,1,2018,equinor
"2020 Exhibits, Inc.",33910.51,30,2015,equinor
"2020 Exhibits, Inc.",15349.54,9,2016,equinor
"2020 Exhibits, Inc.",133433.34,46,2017,equinor
"2020 Exhibits, Inc.",112067.05,37,2018,equinor
2H Offshore Engineering LtD,16875,2,2018,equinor
2H Offshore Inc.,14220,1,2015,equinor
2H Offshore Inc.,113137.5,4,2018,equinor
2Logical Inc.,24740.32,5,2017,equinor
2M Oilfield Group Inc,22133.06,2,2018,equinor
"3 HB Investments,",3313.27,3,2016,equinor
"3 HB Investments,",32915.11,11,2017,equinor
"3 HB Investments,",23198.66,19,2018,equinor
3d Web Technologies,24700,2,2018,equinor
3ES Innovation Inc.,428482.79,5,2016,equinor
3ES Innovation Inc.,375044.52,12,2017,equinor
3ES Innovation Inc.,338656.25,3,2018,equinor
4A Energy Advisors LLC,50535.11,2,2015,equinor
4A Energy Advisors LLC,42941.69,3,2016,equinor
4A Energy Advisors LLC,139599.25,7,2017,equinor
4A Energy Advisors LLC,73991.54,13,2018,equinor
"4JLJ, LLC",247422.15,32,2015,equinor
"4JLJ, LLC",129194.3,22,2016,equinor
"4JLJ, LLC",229282.6,40,2017,equinor
"4JLJ, LLC",650299.62,64,2018,equinor
4K Industrial Park,670460.97,89,2017,equinor
4K Industrial Park,740074.63,69,2018,equinor
"5 Star Consulting, LLC",638930.27,87,2015,equinor
"5 Star Consulting, LLC",325932.54,25,2016,equinor
"5 Star Consulting, LLC",109428,14,2017,equinor
"5 Star OFS, LLC",120893.71,11,2018,equinor
"640energy, LLC",201543.71,23,2015,equinor
"640energy, LLC",12841.2,12,2016,equinor
"A & L Hot Oil Service, Inc.",211297.23,249,2016,equinor
"A & L Hot Oil Service, Inc.",251625.63,252,2017,equinor
"A & L Hot Oil Service, Inc.",163181.06,151,2018,equinor
A and S Portables LLC,30421.75,80,2015,equinor
A Crane Rental LLC,863202.36,42,2018,equinor
A List Staffing,460940.72,203,2015,equinor
A List Staffing,476283.73,211,2016,equinor
A List Staffing,377170.6,126,2017,equinor
A List Staffing,222267.58,190,2018,equinor
"A&A Supply, LLC",254792.86,637,2015,equinor
"A&A Supply, LLC",82450.93,92,2016,equinor
"A&A Supply, LLC",233958.46,259,2017,equinor
"A&A Supply, LLC",251609.6,338,2018,equinor
"A&B Valve and Piping Systems, LLC",47114.26,8,2015,equinor
"A.B. CONTROLS & TECHNOLOGY, INC",-140952.91,1,2018,equinor
"A1 Industrial Painting, Inc",88856.74,3,2015,equinor
A2Z Home Inspections,800,1,2016,equinor
ABB Inc.,946903.36,31,2016,equinor
ABB Inc.,219972.35,100,2017,equinor
ABB Inc.,557175,16,2018,equinor
ABC Home and Commerial Services,5527.98,21,2015,equinor
ABC Transport Pty Ltd,36982.75,35,2015,equinor
ABSG Consulting Inc.,36673.59,2,2015,equinor
ABSG Consulting Inc.,123957.1,16,2017,equinor
ABSG Consulting Inc.,408779.7,31,2018,equinor
"Absolute Oilfield Services, LLC",1651802.99,200,2015,equinor
"Absolute Oilfield Services, LLC",1529352.91,137,2016,equinor
"Absolute Oilfield Services, LLC",2230043.3,292,2017,equinor
"Absolute Oilfield Services, LLC",2459444.97,329,2018,equinor
"Absorbent & Safety Solutions, LLC",126856.48,16,2015,equinor
"Absorbent & Safety Solutions, LLC",103295.72,21,2016,equinor
"Absorbent & Safety Solutions, LLC",51031.27,20,2017,equinor
"Acadian Contractors, Inc.",323892.83,7,2015,equinor
"Acadian Contractors, Inc.",3958749.46,139,2016,equinor
"Acadian Contractors, Inc.",5282113,262,2017,equinor
"Acadian Contractors, Inc.",623191.68,21,2018,equinor
Acadiana Oilfiled Services LLC,49810.02,9,2016,equinor
Acadiana Oilfiled Services LLC,249906.5,46,2017,equinor
Acadiana Oilfiled Services LLC,254959.09,42,2018,equinor
Accelerated Production Services Inc,447066.58,59,2015,equinor
Accelerated Production Systems,133690,2,2015,equinor
Accenture LLP,1062974.79,11,2015,equinor
Accenture LLP,381861.39,11,2016,equinor
Accenture LLP,340342.64,8,2017,equinor
Accenture LLP,8873761.87,53,2018,equinor
Accountemps,38643.42,20,2015,equinor
Accountemps,39934.16,18,2016,equinor
Accountemps,88735.3,18,2017,equinor
"Accounting Principals,Inc.",87486.2,18,2016,equinor
"Accounting Principals,Inc.",28407.03,7,2017,equinor
"Accounting Principals,Inc.",182815.74,47,2018,equinor
AccuConference by Arkadin,145.69,3,2015,equinor
AccuConference by Arkadin,263.51,6,2018,equinor
"Accurate Measurement Controls, Inc.",197651,2,2015,equinor
Accurate Valve Services Inc,500,3,2015,equinor
Accurate Water Inc.,4319.79,6,2015,equinor
Accurate Water Inc.,2498.85,3,2016,equinor
Accurate Water Inc.,817.46,1,2017,equinor
Accurate Water Inc.,8100.6,4,2018,equinor
Accurate Wellhead Inc,144707.77,200,2015,equinor
Accurate Wellhead Inc,260306.67,345,2016,equinor
Accurate Wellhead Inc,206669.67,111,2017,equinor
Accurate Wellhead Inc,5134.3,2,2018,equinor
Accutant Solutions LLC,10050,1,2017,equinor
Accutant Solutions LLC,9000,1,2018,equinor
Ace High Consulting,19041.04,1,2015,equinor
Ace High Consulting,400806.36,18,2016,equinor
Ace High Consulting,357180,15,2017,equinor
Ace High Consulting,401996,14,2018,equinor
Acme Rubber Stamp Inc.,53.18,1,2015,equinor
Acme Rubber Stamp Inc.,279.2,2,2017,equinor
Acme Rubber Stamp Inc.,1135.83,2,2018,equinor
"Acme Truck Line, Inc",954723.29,681,2015,equinor
"Acme Truck Line, Inc",251495.95,254,2016,equinor
"Acme Truck Line, Inc",172773.22,304,2017,equinor
"Acme Truck Line, Inc",270865.24,379,2018,equinor
"ACS FLOORING GROUP, INC",162.38,1,2018,equinor
"ACS Maintenance Solutions, Inc",3398.27,1,2016,equinor
"ACS Maintenance Solutions, Inc",64938.1,17,2017,equinor
"ACS Maintenance Solutions, Inc",62672.83,16,2018,equinor
ACT Global Consulting Inc,3639004.94,62,2015,equinor
ACT Global Consulting Inc,1449704.69,36,2016,equinor
ACT Global Consulting Inc,893105,26,2017,equinor
ACT Global Consulting Inc,754931.66,30,2018,equinor
Actenum Corporation,72849.25,3,2015,equinor
Actenum Corporation,64950,1,2016,equinor
Action Specialties LLC,28280.25,10,2015,equinor
Active Data Solutions LLC,758.12,1,2016,equinor
