Supplier	Total_Invoice_Amount	Total_Invoice_Count	Year	Client	Record_Count
" Austin LW Hotel Associates, LP"	5784.920000	2.000000	2018	"equinor"	1
"1099Express.com, Inc."	348.000000	1.000000	2015	"equinor"	1
"1099Express.com, Inc."	298.000000	1.000000	2016	"equinor"	1
"1099Express/Dallas, LLC"	1964.050000	5.000000	2015	"equinor"	1
"1099Express/Dallas, LLC"	10470.540000	4.000000	2016	"equinor"	1
"10-Code, LLC"	1097.500000	1.000000	2017	"equinor"	1
"10-Code, LLC"	2938.990000	2.000000	2018	"equinor"	1
"1600 West Loop South, LLC"	3788.750000	1.000000	2018	"equinor"	1
"1Derrick Inc"	9201.250000	1.000000	2016	"equinor"	1
"1Derrick Inc"	9661.310000	1.000000	2017	"equinor"	1
"1Derrick Inc"	9661.310000	1.000000	2018	"equinor"	1
"1st Choice Fire Extinguisher Sales"	0.000000	2.000000	2018	"equinor"	1
"2011 Angelina Manufacturing LLC"	390818.540000	2.000000	2017	"equinor"	3
"2011 Angelina Manufacturing LLC"	38499.140000	1.000000	2018	"equinor"	2
"2020 Exhibits, Inc."	33910.510000	30.000000	2015	"equinor"	1
"2020 Exhibits, Inc."	15349.540000	9.000000	2016	"equinor"	1
"2020 Exhibits, Inc."	133433.340000	46.000000	2017	"equinor"	2
"2020 Exhibits, Inc."	112067.050000	37.000000	2018	"equinor"	3
"2H Offshore Engineering LtD"	16875.000000	2.000000	2018	"equinor"	1
"2H Offshore Inc."	14220.000000	1.000000	2015	"equinor"	1
"2H Offshore Inc."	113137.500000	4.000000	2018	"equinor"	1
"2Logical Inc."	24740.320000	5.000000	2017	"equinor"	1
"2M Oilfield Group Inc"	22133.060000	2.000000	2018	"equinor"	1
"3 HB Investments,"	3313.270000	3.000000	2016	"equinor"	1
"3 HB Investments,"	32915.110000	11.000000	2017	"equinor"	1
"3 HB Investments,"	23198.660000	19.000000	2018	"equinor"	1
"3d Web Technologies"	24700.000000	2.000000	2018	"equinor"	1
"3ES Innovation Inc."	428482.790000	5.000000	2016	"equinor"	2
"3ES Innovation Inc."	375044.520000	12.000000	2017	"equinor"	5
"3ES Innovation Inc."	338656.250000	3.000000	2018	"equinor"	3
"4A Energy Advisors LLC"	50535.110000	2.000000	2015	"equinor"	2
"4A Energy Advisors LLC"	42941.690000	3.000000	2016	"equinor"	2
"4A Energy Advisors LLC"	139599.250000	7.000000	2017	"equinor"	2
"4A Energy Advisors LLC"	73991.540000	13.000000	2018	"equinor"	2
"4JLJ, LLC"	247422.150000	32.000000	2015	"equinor"	1
"4JLJ, LLC"	129194.300000	22.000000	2016	"equinor"	1
"4JLJ, LLC"	229282.600000	40.000000	2017	"equinor"	1
