Total_Invoice_Amount	Total_Invoice_Count	Year	Client	Supplier_ref
514116.960000	9.000000	2015	"oxy"	"1717 pennsylvania ave lp"
	0.000000	2016	"oxy"	"1717 pennsylvania ave lp"
584730.180000	11.000000	2013	"oxy"	"1717 pennsylvania ave lp"
673044.320000	12.000000	2014	"oxy"	"1717 pennsylvania ave lp"
84000.000000	2.000000	2018	"oxy oil & gas"	"1e"
84000.000000	2.000000	2016	"oxy oil & gas"	"1e"
		2015	"oxy oil & gas"	"1e"
111997.600000	6.000000	2017	"oxy oil & gas"	"1e"
		2017	"oxy oil & gas"	"1e"
		2016	"oxy oil & gas"	"1e"
		2018	"oxy oil & gas"	"1e"
565258.600000	12.000000	2015	"oxy oil & gas"	"1e"
971015.120000	536.000000	2018	"oxy oil & gas"	"247 welding services"
1473855.380000	402.000000	2017	"oxy oil & gas"	"247 welding services"
746688.690000	383.000000	2016	"oxy oil & gas"	"247 welding services"
268101.830000	156.000000	2015	"oxy oil & gas"	"247 welding services"
		2017	"oxy oil & gas"	"3 s services"
1586740.110000	1335.000000	2016	"oxy oil & gas"	"3 s services"
		2018	"oxy oil & gas"	"3 s services"
1276.360000	1.000000	2015	"oxy oil & gas"	"3 s services"
7925795.530000	7969.000000	2016	"oxy"	"3s services"
6907504.980000	7782.000000	2014	"oxy"	"3s services"
12682753.510000	10581.000000	2015	"oxy"	"3s services"
881589.050000	448.000000	2016	"oxy oil & gas"	"3s services"
		2018	"oxy oil & gas"	"3s services"
2057336.120000	1497.000000	2013	"oxy"	"3s services"
		2017	"oxy oil & gas"	"3s services"
13504721.170000	11650.000000	2015	"oxy oil & gas"	"3s services"
		2016	"oxy oil & gas"	"3d imaging technology"
		2015	"oxy oil & gas"	"3d imaging technology"
		2017	"oxy oil & gas"	"3d imaging technology"
17500.000000	2.000000	2018	"oxy oil & gas"	"3d imaging technology"
156810.220000	21.000000	2017	"oxy oil & gas"	"3d results"
80910.790000	14.000000	2018	"oxy oil & gas"	"3d results"
		2015	"oxy oil & gas"	"3d results"
		2016	"oxy oil & gas"	"3d results"
		2016	"oxy oil & gas"	"3es innovation"
658362.500000	11.000000	2017	"oxy oil & gas"	"3es innovation"
956118.400000	12.000000	2018	"oxy oil & gas"	"3es innovation"
		2015	"oxy oil & gas"	"3es innovation"
0.000000	3.000000	2016	"oxy oil & gas"	"3h trucking"
7044556.460000	3266.000000	2013	"oxy"	"3h trucking"
		2018	"oxy oil & gas"	"3h trucking"
0.000000	2.000000	2015	"oxy"	"3h trucking"
		2017	"oxy oil & gas"	"3h trucking"
6806357.320000	3846.000000	2014	"oxy"	"3h trucking"
